date,country,energy_price_index
2015-01-01,DE,100.5
2015-02-01,DE,101.9
2015-03-01,DE,101.9
2015-04-01,DE,101.5
2015-05-01,DE,101.8
2015-06-01,DE,101.2
2015-07-01,DE,100.2
2015-08-01,DE,99.2
2015-09-01,DE,98.9
2015-10-01,DE,98.4
2015-11-01,DE,98.3
2015-12-01,DE,96.3
2016-01-01,DE,94.8
2016-02-01,DE,94.5
2016-03-01,DE,95.2
2016-04-01,DE,95.1
2016-05-01,DE,95.8
2016-06-01,DE,96.1
2016-07-01,DE,95.4
2016-08-01,DE,95.0
2016-09-01,DE,95.1
2016-10-01,DE,96.0
2016-11-01,DE,95.4
2016-12-01,DE,96.8
2017-01-01,DE,97.0
2017-02-01,DE,97.2
2017-03-01,DE,96.8
2017-04-01,DE,97.1
2017-05-01,DE,96.4
2017-06-01,DE,96.0
2017-07-01,DE,96.0
2017-08-01,DE,96.2
2017-09-01,DE,96.8
2017-10-01,DE,97.1
2017-11-01,DE,97.8
2017-12-01,DE,97.9
2018-01-01,DE,98.4
2018-02-01,DE,97.7
2018-03-01,DE,97.9
2018-04-01,DE,98.6
2018-05-01,DE,99.6
2018-06-01,DE,99.5
2018-07-01,DE,99.5
2018-08-01,DE,100.0
2018-09-01,DE,101.5
2018-10-01,DE,102.5
2018-11-01,DE,103.6
2018-12-01,DE,100.9
2019-01-01,DE,101.8
2019-02-01,DE,102.2
2019-03-01,DE,102.5
2019-04-01,DE,103.0
2019-05-01,DE,103.4
2019-06-01,DE,102.7
2019-07-01,DE,103.0
2019-08-01,DE,102.9
2019-09-01,DE,103.4
2019-10-01,DE,103.4
2019-11-01,DE,103.3
2019-12-01,DE,103.4
2020-01-01,DE,104.3
2020-02-01,DE,103.9
2020-03-01,DE,103.1
2020-04-01,DE,102.7
2020-05-01,DE,102.0
2020-06-01,DE,101.8
2020-07-01,DE,99.9
2020-08-01,DE,99.6
2020-09-01,DE,98.9
2020-10-01,DE,98.9
2020-11-01,DE,98.7
2020-12-01,DE,99.7
2021-01-01,DE,102.6
2021-02-01,DE,103.3
2021-03-01,DE,103.9
2021-04-01,DE,103.6
2021-05-01,DE,104.0
2021-06-01,DE,104.5
2021-07-01,DE,105.1
2021-08-01,DE,105.1
2021-09-01,DE,106.0
2021-10-01,DE,109.3
2021-11-01,DE,110.6
2021-12-01,DE,110.7
2022-01-01,DE,121.5
2022-02-01,DE,124.7
2022-03-01,DE,137.9
2022-04-01,DE,137.3
2022-05-01,DE,141.2
2022-06-01,DE,145.6
2022-07-01,DE,149.3
2022-08-01,DE,153.4
2022-09-01,DE,160.4
2022-10-01,DE,169.2
