date,country,inflation
2015-01,DE,-0.5
2015-02,DE,-0.2
2015-03,DE,0.3
2015-04,DE,1.0
2015-05,DE,1.6
2015-06,DE,1.1
2015-07,DE,1.3
2015-08,DE,1.1
2015-09,DE,0.8
2015-10,DE,1.2
2015-11,DE,0.2
2015-12,DE,0.2
2016-01,DE,0.4
2016-02,DE,-0.1
2016-03,DE,0.1
2016-04,DE,-0.3
2016-05,DE,-0.1
2016-06,DE,0.1
2016-07,DE,0.3
2016-08,DE,0.3
2016-09,DE,0.6
2016-10,DE,0.7
2016-11,DE,0.8
2016-12,DE,1.6
2017-01,DE,1.7
2017-02,DE,2.1
2017-03,DE,1.5
2017-04,DE,2.0
2017-05,DE,1.3
2017-06,DE,1.7
2017-07,DE,1.7
2017-08,DE,1.9
2017-09,DE,1.9
2017-10,DE,1.5
2017-11,DE,1.7
2017-12,DE,1.5
2018-01,DE,1.5
2018-02,DE,1.2
2018-03,DE,1.7
2018-04,DE,1.3
2018-05,DE,2.5
2018-06,DE,2.1
2018-07,DE,2.2
2018-08,DE,2.1
2018-09,DE,2.2
2018-10,DE,2.6
2018-11,DE,2.2
2018-12,DE,1.7
2019-01,DE,1.7
2019-02,DE,1.7
2019-03,DE,1.4
2019-04,DE,2.1
2019-05,DE,1.3
2019-06,DE,1.5
2019-07,DE,1.1
2019-08,DE,1.0
2019-09,DE,0.9
2019-10,DE,0.9
2019-11,DE,1.2
2019-12,DE,1.5
2020-01,DE,1.6
2020-02,DE,1.7
2020-03,DE,1.3
2020-04,DE,0.8
2020-05,DE,0.5
2020-06,DE,0.8
2020-07,DE,0.0
2020-08,DE,-0.1
2020-09,DE,-0.4
2020-10,DE,-0.5
2020-11,DE,-0.7
2020-12,DE,-0.7
2021-01,DE,1.6
2021-02,DE,1.6
2021-03,DE,2.0
2021-04,DE,2.1
2021-05,DE,2.4
2021-06,DE,2.1
2021-07,DE,3.1
2021-08,DE,3.4
2021-09,DE,4.1
2021-10,DE,4.6
2021-11,DE,6.0
2021-12,DE,5.7
2022-01,DE,5.1
2022-02,DE,5.5
2022-03,DE,7.6
2022-04,DE,7.8
2022-05,DE,8.7
2022-06,DE,8.2
2022-07,DE,8.5
2022-08,DE,8.8
2022-09,DE,10.9
2022-10,DE,11.6
2022-11,DE,11.3
2022-12,DE,9.6
2023-01,DE,9.2
2023-02,DE,9.3
